2026-03-16 18:11:02 | INFO | CI | === RUN START ===
2026-03-16 18:11:02 | INFO | CI | project=NLP
2026-03-16 18:11:02 | INFO | CI | repo_dir=nlp-02-text-preprocessing
2026-03-16 18:11:02 | INFO | CI | python=3.14.0
2026-03-16 18:11:02 | INFO | CI | os=Windows 11
2026-03-16 18:11:02 | INFO | CI | shell=powershell
2026-03-16 18:11:02 | INFO | CI | cwd=.
2026-03-16 18:11:02 | INFO | CI | github_actions=False
2026-03-16 18:11:02 | INFO | CI | START script.....
2026-03-16 18:11:02 | INFO | CI | ROOT_PATH = .
2026-03-16 18:11:02 | INFO | CI | DATA_PATH = data
2026-03-16 18:11:02 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-16 18:11:02 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-16 18:11:07 | INFO | CI | ========================
2026-03-16 18:11:07 | INFO | CI | Pipeline executed successfully!
2026-03-16 18:11:07 | INFO | CI | ========================
2026-03-16 18:11:07 | INFO | CI | END main()
2026-03-20 03:41:18 | INFO | CI | === RUN START ===
2026-03-20 03:41:18 | INFO | CI | project=NLP
2026-03-20 03:41:18 | INFO | CI | repo_dir=nlp-02-text-preprocessing
2026-03-20 03:41:18 | INFO | CI | python=3.14.0
2026-03-20 03:41:18 | INFO | CI | os=Windows 11
2026-03-20 03:41:18 | INFO | CI | shell=powershell
2026-03-20 03:41:18 | INFO | CI | cwd=.
2026-03-20 03:41:18 | INFO | CI | github_actions=False
2026-03-20 03:41:18 | INFO | CI | START script.....
2026-03-20 03:41:18 | INFO | CI | ROOT_PATH = .
2026-03-20 03:41:18 | INFO | CI | DATA_PATH = data
2026-03-20 03:41:18 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-20 03:41:18 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-20 03:41:28 | INFO | CI | ========================
2026-03-20 03:41:28 | INFO | CI | Pipeline executed successfully!
2026-03-20 03:41:28 | INFO | CI | ========================
2026-03-20 03:41:28 | INFO | CI | END main()
